Blocks: '[1922:24:86:20, 2005:31:-71:18:7, 1986:31:-46:18:7, 2025:31:-46:18:7, 1963:31:-24:18:7,
  2047:31:-23:18:7, 1938:31:-4:18:7, 2072:31:-4:18:7, 1963:31:15:18:7, 2047:31:16:18:7,
  1985:31:38:18:7, 2024:31:38:18:7, 2005:31:63:18:7, 2004:32:-72:18:7, 2006:32:-72:18:7,
  2005:32:-71:18:7, 2006:32:-70:18:7, 2004:32:-68:18:7, 2004:32:-51:18:7, 2004:32:-50:18:7,
  2005:32:-50:18:7, 2005:32:-49:18:7, 2005:32:-48:18:7, 1985:32:-47:18:7, 1989:32:-47:18:7,
  2006:32:-47:18:7, 2022:32:-47:18:7, 2026:32:-47:18:7, 1986:32:-46:18:7, 2006:32:-46:18:7,
  2007:32:-46:18:7, 2025:32:-46:18:7, 1985:32:-45:18:7, 1987:32:-45:18:7, 2005:32:-45:18:7,
  2006:32:-45:18:7, 2007:32:-45:18:7, 2024:32:-45:18:7, 2026:32:-45:18:7, 2003:32:-44:18:7,
  2004:32:-44:18:7, 2005:32:-44:18:7, 2003:32:-43:18:7, 2006:32:-41:18:7, 2004:32:-40:18:7,
  2005:32:-40:18:7, 2006:32:-40:18:7, 2005:32:-39:18:7, 1962:32:-25:18:7, 1964:32:-25:18:7,
  1963:32:-24:18:7, 2046:32:-24:18:7, 2048:32:-24:18:7, 1964:32:-23:18:7, 2047:32:-23:18:7,
  2046:32:-22:18:7, 1962:32:-21:18:7, 2048:32:-20:18:7, 1963:32:-6:18:7, 1964:32:-6:18:7,
  2044:32:-6:18:7, 2045:32:-6:18:7, 1937:32:-5:18:7, 1939:32:-5:18:7, 1962:32:-5:18:7,
  1963:32:-5:18:7, 1964:32:-5:18:7, 1968:32:-5:18:7, 1969:32:-5:18:7, 2041:32:-5:18:7,
  2045:32:-5:18:7, 2051:32:-5:18:7, 2052:32:-5:18:7, 2069:32:-5:18:7, 2073:32:-5:18:7,
  1938:32:-4:18:7, 1959:32:-4:18:7, 1960:32:-4:18:7, 1961:32:-4:18:7, 1964:32:-4:18:7,
  1965:32:-4:18:7, 1969:32:-4:18:7, 1970:32:-4:18:7, 2040:32:-4:18:7, 2041:32:-4:18:7,
  2045:32:-4:18:7, 2046:32:-4:18:7, 2049:32:-4:18:7, 2050:32:-4:18:7, 2051:32:-4:18:7,
  2072:32:-4:18:7, 1937:32:-3:18:7, 1941:32:-3:18:7, 1958:32:-3:18:7, 1959:32:-3:18:7,
  1965:32:-3:18:7, 1969:32:-3:18:7, 2041:32:-3:18:7, 2042:32:-3:18:7, 2046:32:-3:18:7,
  2047:32:-3:18:7, 2048:32:-3:18:7, 2071:32:-3:18:7, 2073:32:-3:18:7, 1965:32:-2:18:7,
  1966:32:-2:18:7, 2046:32:-2:18:7, 2047:32:-2:18:7, 1962:32:12:18:7, 2048:32:13:18:7,
  1964:32:14:18:7, 1963:32:15:18:7, 2046:32:15:18:7, 1962:32:16:18:7, 1964:32:16:18:7,
  2047:32:16:18:7, 2046:32:17:18:7, 2048:32:17:18:7, 2005:32:31:18:7, 2004:32:32:18:7,
  2005:32:32:18:7, 2006:32:32:18:7, 2004:32:33:18:7, 2007:32:35:18:7, 2005:32:36:18:7,
  2006:32:36:18:7, 2007:32:36:18:7, 1984:32:37:18:7, 1986:32:37:18:7, 2003:32:37:18:7,
  2004:32:37:18:7, 2005:32:37:18:7, 2023:32:37:18:7, 2025:32:37:18:7, 1985:32:38:18:7,
  2003:32:38:18:7, 2004:32:38:18:7, 2024:32:38:18:7, 1984:32:39:18:7, 1988:32:39:18:7,
  2004:32:39:18:7, 2021:32:39:18:7, 2025:32:39:18:7, 2005:32:40:18:7, 2005:32:41:18:7,
  2005:32:42:18:7, 2006:32:42:18:7, 2006:32:43:18:7, 2006:32:60:18:7, 2004:32:62:18:7,
  2005:32:63:18:7, 2004:32:64:18:7, 2006:32:64:18:7, 2006:33:-74:18:7, 2004:33:-72:18:7,
  2006:33:-72:18:7, 2004:33:-71:18:7, 2005:33:-71:18:7, 2006:33:-70:18:7, 2005:33:-69:18:7,
  2004:33:-68:18:7, 2005:33:-67:18:7, 2004:33:-66:18:7, 2005:33:-64:18:7, 2005:33:-54:1,
  2005:33:-53:1, 2004:33:-52:1, 2005:33:-52:1, 2006:33:-52:1, 2007:33:-52:18:7, 2003:33:-51:18:7,
  2004:33:-51:1, 2005:33:-51:1, 2006:33:-51:1, 2007:33:-51:18:7, 2004:33:-50:1, 2005:33:-50:1,
  2006:33:-50:1, 2007:33:-50:18:7, 2003:33:-49:1, 2004:33:-49:1, 2005:33:-49:1, 2006:33:-49:1,
  2007:33:-49:1, 2008:33:-49:18:7, 2003:33:-48:1, 2004:33:-48:1, 2005:33:-48:1, 2006:33:-48:1,
  2007:33:-48:1, 2008:33:-48:18:7, 1985:33:-47:18:7, 1986:33:-47:18:7, 1989:33:-47:18:7,
  1991:33:-47:18:7, 2003:33:-47:1, 2004:33:-47:1, 2005:33:-47:1, 2006:33:-47:1, 2007:33:-47:1,
  2008:33:-47:18:7, 2020:33:-47:18:7, 2022:33:-47:18:7, 2025:33:-47:18:7, 2026:33:-47:18:7,
  1986:33:-46:18:7, 1988:33:-46:18:7, 1990:33:-46:18:7, 1993:33:-46:18:7, 2002:33:-46:1,
  2003:33:-46:1, 2004:33:-46:1, 2005:33:-46:1, 2006:33:-46:1, 2007:33:-46:1, 2008:33:-46:1,
  2018:33:-46:18:7, 2021:33:-46:18:7, 2023:33:-46:18:7, 2025:33:-46:18:7, 1983:33:-45:18:7,
  1985:33:-45:18:7, 1987:33:-45:18:7, 2003:33:-45:1, 2004:33:-45:1, 2005:33:-45:1,
  2006:33:-45:1, 2007:33:-45:1, 2024:33:-45:18:7, 2026:33:-45:18:7, 2028:33:-45:18:7,
  2003:33:-44:1, 2004:33:-44:1, 2005:33:-44:1, 2006:33:-44:1, 2007:33:-44:1, 2002:33:-43:18:7,
  2003:33:-43:1, 2004:33:-43:1, 2005:33:-43:1, 2006:33:-43:1, 2007:33:-43:1, 2008:33:-43:18:7,
  2003:33:-42:18:7, 2004:33:-42:1, 2005:33:-42:1, 2006:33:-42:1, 2007:33:-42:18:7,
  2003:33:-41:18:7, 2004:33:-41:1, 2005:33:-41:1, 2006:33:-41:1, 2007:33:-41:18:7,
  2004:33:-40:1, 2005:33:-40:1, 2006:33:-40:1, 2005:33:-39:1, 2005:33:-38:18:7, 2006:33:-38:18:7,
  1964:33:-27:18:7, 2046:33:-26:18:7, 1962:33:-25:18:7, 1964:33:-25:18:7, 1962:33:-24:18:7,
  1963:33:-24:18:7, 2046:33:-24:18:7, 2048:33:-24:18:7, 1964:33:-23:18:7, 2047:33:-23:18:7,
  2048:33:-23:18:7, 1963:33:-22:18:7, 2046:33:-22:18:7, 1962:33:-21:18:7, 2047:33:-21:18:7,
  1963:33:-20:18:7, 2048:33:-20:18:7, 1962:33:-19:18:7, 2047:33:-19:18:7, 2048:33:-18:18:7,
  1963:33:-17:18:7, 2047:33:-16:18:7, 1960:33:-7:18:7, 1961:33:-7:18:7, 1962:33:-7:18:7,
  1963:33:-7:1, 1966:33:-7:18:7, 2044:33:-7:18:7, 2047:33:-7:1, 1957:33:-6:18:7, 1958:33:-6:18:7,
  1959:33:-6:18:7, 1960:33:-6:1, 1961:33:-6:1, 1962:33:-6:1, 1963:33:-6:1, 1964:33:-6:1,
  1965:33:-6:1, 1966:33:-6:1, 1967:33:-6:18:7, 1968:33:-6:18:7, 2042:33:-6:18:7, 2043:33:-6:18:7,
  2044:33:-6:1, 2045:33:-6:1, 2046:33:-6:1, 2047:33:-6:1, 2048:33:-6:1, 2049:33:-6:1,
  2050:33:-6:1, 2052:33:-6:18:7, 1935:33:-5:18:7, 1937:33:-5:18:7, 1939:33:-5:18:7,
  1957:33:-5:1, 1958:33:-5:1, 1959:33:-5:1, 1960:33:-5:1, 1961:33:-5:1, 1962:33:-5:1,
  1963:33:-5:1, 1964:33:-5:1, 1965:33:-5:1, 1966:33:-5:1, 1967:33:-5:1, 1968:33:-5:1,
  1969:33:-5:1, 1971:33:-5:18:7, 2041:33:-5:1, 2042:33:-5:1, 2043:33:-5:1, 2044:33:-5:1,
  2045:33:-5:1, 2046:33:-5:1, 2047:33:-5:1, 2048:33:-5:1, 2049:33:-5:1, 2050:33:-5:1,
  2051:33:-5:1, 2052:33:-5:1, 2053:33:-5:1, 2067:33:-5:18:7, 2069:33:-5:18:7, 2072:33:-5:18:7,
  2073:33:-5:18:7, 1938:33:-4:18:7, 1940:33:-4:18:7, 1942:33:-4:18:7, 1945:33:-4:18:7,
  1955:33:-4:1, 1956:33:-4:1, 1957:33:-4:1, 1958:33:-4:1, 1959:33:-4:1, 1960:33:-4:1,
  1961:33:-4:1, 1962:33:-4:1, 1963:33:-4:1, 1964:33:-4:1, 1965:33:-4:1, 1966:33:-4:1,
  1967:33:-4:1, 1968:33:-4:1, 1969:33:-4:1, 1970:33:-4:1, 1971:33:-4:18:7, 2039:33:-4:18:7,
  2040:33:-4:1, 2041:33:-4:1, 2042:33:-4:1, 2043:33:-4:1, 2044:33:-4:1, 2045:33:-4:1,
  2046:33:-4:1, 2047:33:-4:1, 2048:33:-4:1, 2049:33:-4:1, 2050:33:-4:1, 2051:33:-4:1,
  2052:33:-4:1, 2053:33:-4:1, 2054:33:-4:1, 2055:33:-4:1, 2065:33:-4:18:7, 2068:33:-4:18:7,
  2070:33:-4:18:7, 2072:33:-4:18:7, 1937:33:-3:18:7, 1938:33:-3:18:7, 1941:33:-3:18:7,
  1943:33:-3:18:7, 1957:33:-3:1, 1958:33:-3:1, 1959:33:-3:1, 1960:33:-3:1, 1961:33:-3:1,
  1962:33:-3:1, 1963:33:-3:1, 1964:33:-3:1, 1965:33:-3:1, 1966:33:-3:1, 1967:33:-3:1,
  1968:33:-3:1, 1969:33:-3:1, 2039:33:-3:18:7, 2041:33:-3:1, 2042:33:-3:1, 2043:33:-3:1,
  2044:33:-3:1, 2045:33:-3:1, 2046:33:-3:1, 2047:33:-3:1, 2048:33:-3:1, 2049:33:-3:1,
  2050:33:-3:1, 2051:33:-3:1, 2052:33:-3:1, 2053:33:-3:1, 2071:33:-3:18:7, 2073:33:-3:18:7,
  2075:33:-3:18:7, 1958:33:-2:18:7, 1960:33:-2:1, 1961:33:-2:1, 1962:33:-2:1, 1963:33:-2:1,
  1964:33:-2:1, 1965:33:-2:1, 1966:33:-2:1, 1967:33:-2:18:7, 1968:33:-2:18:7, 2042:33:-2:18:7,
  2043:33:-2:18:7, 2044:33:-2:1, 2045:33:-2:1, 2046:33:-2:1, 2047:33:-2:1, 2048:33:-2:1,
  2049:33:-2:1, 2050:33:-2:1, 2051:33:-2:18:7, 2052:33:-2:18:7, 2053:33:-2:18:7, 1963:33:-1:1,
  1966:33:-1:18:7, 2044:33:-1:18:7, 2047:33:-1:1, 2048:33:-1:18:7, 2049:33:-1:18:7,
  2050:33:-1:18:7, 1963:33:8:18:7, 2047:33:9:18:7, 1962:33:10:18:7, 1963:33:11:18:7,
  2048:33:11:18:7, 1962:33:12:18:7, 2047:33:12:18:7, 1963:33:13:18:7, 2048:33:13:18:7,
  1964:33:14:18:7, 2047:33:14:18:7, 1962:33:15:18:7, 1963:33:15:18:7, 2046:33:15:18:7,
  1962:33:16:18:7, 1964:33:16:18:7, 2047:33:16:18:7, 2048:33:16:18:7, 2046:33:17:18:7,
  2048:33:17:18:7, 1964:33:18:18:7, 2046:33:19:18:7, 2004:33:30:18:7, 2005:33:30:18:7,
  2005:33:31:1, 2004:33:32:1, 2005:33:32:1, 2006:33:32:1, 2003:33:33:18:7, 2004:33:33:1,
  2005:33:33:1, 2006:33:33:1, 2007:33:33:18:7, 2003:33:34:18:7, 2004:33:34:1, 2005:33:34:1,
  2006:33:34:1, 2007:33:34:18:7, 2002:33:35:18:7, 2003:33:35:1, 2004:33:35:1, 2005:33:35:1,
  2006:33:35:1, 2007:33:35:1, 2008:33:35:18:7, 2003:33:36:1, 2004:33:36:1, 2005:33:36:1,
  2006:33:36:1, 2007:33:36:1, 1982:33:37:18:7, 1984:33:37:18:7, 1986:33:37:18:7, 2003:33:37:1,
  2004:33:37:1, 2005:33:37:1, 2006:33:37:1, 2007:33:37:1, 2023:33:37:18:7, 2025:33:37:18:7,
  2027:33:37:18:7, 1985:33:38:18:7, 1987:33:38:18:7, 1989:33:38:18:7, 1992:33:38:18:7,
  2002:33:38:1, 2003:33:38:1, 2004:33:38:1, 2005:33:38:1, 2006:33:38:1, 2007:33:38:1,
  2008:33:38:1, 2017:33:38:18:7, 2020:33:38:18:7, 2022:33:38:18:7, 2024:33:38:18:7,
  1984:33:39:18:7, 1985:33:39:18:7, 1988:33:39:18:7, 1990:33:39:18:7, 2002:33:39:18:7,
  2003:33:39:1, 2004:33:39:1, 2005:33:39:1, 2006:33:39:1, 2007:33:39:1, 2019:33:39:18:7,
  2021:33:39:18:7, 2024:33:39:18:7, 2025:33:39:18:7, 2002:33:40:18:7, 2003:33:40:1,
  2004:33:40:1, 2005:33:40:1, 2006:33:40:1, 2007:33:40:1, 2002:33:41:18:7, 2003:33:41:1,
  2004:33:41:1, 2005:33:41:1, 2006:33:41:1, 2007:33:41:1, 2003:33:42:18:7, 2004:33:42:1,
  2005:33:42:1, 2006:33:42:1, 2003:33:43:18:7, 2004:33:43:1, 2005:33:43:1, 2006:33:43:1,
  2007:33:43:18:7, 2003:33:44:18:7, 2004:33:44:1, 2005:33:44:1, 2006:33:44:1, 2005:33:45:1,
  2005:33:46:1, 2005:33:56:18:7, 2006:33:58:18:7, 2005:33:59:18:7, 2006:33:60:18:7,
  2005:33:61:18:7, 2004:33:62:18:7, 2005:33:63:18:7, 2006:33:63:18:7, 2004:33:64:18:7,
  2006:33:64:18:7, 2004:33:66:18:7, 2004:34:-75:18:7, 2006:34:-74:18:7, 2005:34:-73:18:7,
  2005:34:-72:18:7, 2006:34:-72:18:7, 2004:34:-71:18:7, 2005:34:-71:18:7, 2006:34:-71:18:7,
  2004:34:-70:18:7, 2005:34:-70:18:7, 2004:34:-69:18:7, 2005:34:-69:18:7, 2004:34:-68:18:7,
  2005:34:-68:18:7, 2004:34:-67:18:7, 2005:34:-67:18:7, 2004:34:-66:18:7, 2006:34:-66:18:7,
  2005:34:-65:18:7, 2005:34:-64:18:7, 2006:34:-63:18:7, 2004:34:-55:18:7, 2005:34:-55:1,
  2004:34:-54:18:7, 2005:34:-54:1, 2003:34:-53:18:7, 2004:34:-53:1, 2005:34:-53:159:8,
  2006:34:-53:1, 2007:34:-53:18:7, 2003:34:-52:18:7, 2004:34:-52:1, 2005:34:-52:1,
  2006:34:-52:1, 2007:34:-52:18:7, 2003:34:-51:159:8, 2004:34:-51:1, 2005:34:-51:1,
  2006:34:-51:1, 2007:34:-51:159:8, 2003:34:-50:159:8, 2004:34:-50:1, 2005:34:-50:1,
  2006:34:-50:1, 2007:34:-50:159:8, 2003:34:-49:159:8, 2004:34:-49:1, 2005:34:-49:1,
  2006:34:-49:1, 2007:34:-49:159:8, 2002:34:-48:1, 2003:34:-48:1, 2004:34:-48:1, 2005:34:-48:1,
  2006:34:-48:1, 2007:34:-48:1, 2008:34:-48:1, 2009:34:-48:18:7, 1982:34:-47:18:7,
  1986:34:-47:18:7, 1987:34:-47:18:7, 1988:34:-47:18:7, 1989:34:-47:18:7, 1990:34:-47:18:7,
  1991:34:-47:18:7, 2002:34:-47:1, 2003:34:-47:1, 2004:34:-47:1, 2005:34:-47:1, 2006:34:-47:1,
  2007:34:-47:1, 2008:34:-47:1, 2009:34:-47:18:7, 2020:34:-47:18:7, 2021:34:-47:18:7,
  2022:34:-47:18:7, 2023:34:-47:18:7, 2024:34:-47:18:7, 2025:34:-47:18:7, 2029:34:-47:18:7,
  1984:34:-46:18:7, 1985:34:-46:18:7, 1986:34:-46:18:7, 1987:34:-46:18:7, 1988:34:-46:18:7,
  1989:34:-46:18:7, 1990:34:-46:18:7, 1992:34:-46:18:7, 1993:34:-46:18:7, 2002:34:-46:1,
  2003:34:-46:1, 2004:34:-46:1, 2005:34:-46:1, 2006:34:-46:1, 2007:34:-46:1, 2008:34:-46:1,
  2009:34:-46:18:7, 2018:34:-46:18:7, 2019:34:-46:18:7, 2021:34:-46:18:7, 2022:34:-46:18:7,
  2023:34:-46:18:7, 2024:34:-46:18:7, 2025:34:-46:18:7, 2026:34:-46:18:7, 2027:34:-46:18:7,
  1983:34:-45:18:7, 1985:34:-45:18:7, 1986:34:-45:18:7, 1991:34:-45:18:7, 1994:34:-45:18:7,
  2002:34:-45:1, 2003:34:-45:1, 2004:34:-45:1, 2005:34:-45:1, 2006:34:-45:1, 2007:34:-45:1,
  2008:34:-45:1, 2017:34:-45:18:7, 2020:34:-45:18:7, 2025:34:-45:18:7, 2026:34:-45:18:7,
  2028:34:-45:18:7, 2001:34:-44:18:7, 2002:34:-44:1, 2003:34:-44:1, 2004:34:-44:1,
  2005:34:-44:1, 2006:34:-44:1, 2007:34:-44:1, 2008:34:-44:1, 2009:34:-44:18:7, 2002:34:-43:18:7,
  2003:34:-43:159:8, 2004:34:-43:1, 2005:34:-43:1, 2006:34:-43:1, 2007:34:-43:159:8,
  2008:34:-43:18:7, 2003:34:-42:159:8, 2004:34:-42:1, 2005:34:-42:1, 2006:34:-42:1,
  2007:34:-42:159:8, 2003:34:-41:159:8, 2004:34:-41:1, 2005:34:-41:1, 2006:34:-41:1,
  2007:34:-41:159:8, 2004:34:-40:1, 2005:34:-40:1, 2006:34:-40:1, 2004:34:-39:1, 2005:34:-39:159:8,
  2006:34:-39:1, 2005:34:-38:1, 2006:34:-38:18:7, 2005:34:-37:1, 2006:34:-37:18:7,
  1962:34:-28:18:7, 1964:34:-27:18:7, 2048:34:-27:18:7, 1963:34:-26:18:7, 2046:34:-26:18:7,
  1963:34:-25:18:7, 1964:34:-25:18:7, 2047:34:-25:18:7, 1962:34:-24:18:7, 1963:34:-24:18:7,
  1964:34:-24:18:7, 2046:34:-24:18:7, 2047:34:-24:18:7, 1962:34:-23:18:7, 1963:34:-23:18:7,
  2046:34:-23:18:7, 2047:34:-23:18:7, 2048:34:-23:18:7, 1962:34:-22:18:7, 1963:34:-22:18:7,
  2047:34:-22:18:7, 2048:34:-22:18:7, 1962:34:-21:18:7, 1963:34:-21:18:7, 2047:34:-21:18:7,
  2048:34:-21:18:7, 1962:34:-20:18:7, 1963:34:-20:18:7, 2047:34:-20:18:7, 2048:34:-20:18:7,
  1962:34:-19:18:7, 1964:34:-19:18:7, 2047:34:-19:18:7, 2048:34:-19:18:7, 1963:34:-18:18:7,
  2046:34:-18:18:7, 2048:34:-18:18:7, 1963:34:-17:18:7, 2047:34:-17:18:7, 1964:34:-16:18:7,
  2047:34:-16:18:7, 2046:34:-15:18:7, 1961:34:-8:18:7, 1962:34:-8:18:7, 1963:34:-8:18:7,
  1965:34:-8:18:7, 2045:34:-8:18:7, 1961:34:-7:1, 1962:34:-7:1, 1963:34:-7:1, 1964:34:-7:1,
  1965:34:-7:1, 1966:34:-7:18:7, 2044:34:-7:18:7, 2045:34:-7:1, 2046:34:-7:1, 2047:34:-7:1,
  2048:34:-7:1, 2049:34:-7:1, 1956:34:-6:18:7, 1957:34:-6:18:7, 1958:34:-6:159:8,
  1959:34:-6:159:8, 1960:34:-6:159:8, 1961:34:-6:1, 1962:34:-6:1, 1963:34:-6:1, 1964:34:-6:1,
  1965:34:-6:1, 1966:34:-6:159:8, 1967:34:-6:159:8, 1968:34:-6:159:8, 2042:34:-6:159:8,
  2043:34:-6:159:8, 2044:34:-6:159:8, 2045:34:-6:1, 2046:34:-6:1, 2047:34:-6:1, 2048:34:-6:1,
  2049:34:-6:1, 2050:34:-6:159:8, 2051:34:-6:159:8, 2052:34:-6:159:8, 2053:34:-6:18:7,
  2054:34:-6:18:7, 1935:34:-5:18:7, 1937:34:-5:18:7, 1938:34:-5:18:7, 1943:34:-5:18:7,
  1946:34:-5:18:7, 1956:34:-5:1, 1957:34:-5:1, 1958:34:-5:1, 1959:34:-5:1, 1960:34:-5:1,
  1961:34:-5:1, 1962:34:-5:1, 1963:34:-5:1, 1964:34:-5:1, 1965:34:-5:1, 1966:34:-5:1,
  1967:34:-5:1, 1968:34:-5:1, 1969:34:-5:1, 1970:34:-5:1, 1971:34:-5:18:7, 1972:34:-5:18:7,
  2040:34:-5:1, 2041:34:-5:1, 2042:34:-5:1, 2043:34:-5:1, 2044:34:-5:1, 2045:34:-5:1,
  2046:34:-5:1, 2047:34:-5:1, 2048:34:-5:1, 2049:34:-5:1, 2050:34:-5:1, 2051:34:-5:1,
  2052:34:-5:1, 2053:34:-5:1, 2054:34:-5:1, 2055:34:-5:18:7, 2056:34:-5:18:7, 2067:34:-5:18:7,
  2068:34:-5:18:7, 2069:34:-5:18:7, 2070:34:-5:18:7, 2071:34:-5:18:7, 2072:34:-5:18:7,
  2076:34:-5:18:7, 1936:34:-4:18:7, 1937:34:-4:18:7, 1938:34:-4:18:7, 1939:34:-4:18:7,
  1940:34:-4:18:7, 1941:34:-4:18:7, 1942:34:-4:18:7, 1944:34:-4:18:7, 1945:34:-4:18:7,
  1954:34:-4:1, 1955:34:-4:1, 1956:34:-4:159:8, 1957:34:-4:1, 1958:34:-4:1, 1959:34:-4:1,
  1960:34:-4:1, 1961:34:-4:1, 1962:34:-4:1, 1963:34:-4:1, 1964:34:-4:1, 1965:34:-4:1,
  1966:34:-4:1, 1967:34:-4:1, 1968:34:-4:1, 1969:34:-4:1, 1970:34:-4:159:8, 1971:34:-4:1,
  1972:34:-4:1, 2038:34:-4:1, 2039:34:-4:1, 2040:34:-4:159:8, 2041:34:-4:1, 2042:34:-4:1,
  2043:34:-4:1, 2044:34:-4:1, 2045:34:-4:1, 2046:34:-4:1, 2047:34:-4:1, 2048:34:-4:1,
  2049:34:-4:1, 2050:34:-4:1, 2051:34:-4:1, 2052:34:-4:1, 2053:34:-4:1, 2054:34:-4:159:8,
  2055:34:-4:1, 2056:34:-4:1, 2065:34:-4:18:7, 2066:34:-4:18:7, 2068:34:-4:18:7, 2069:34:-4:18:7,
  2070:34:-4:18:7, 2071:34:-4:18:7, 2072:34:-4:18:7, 2073:34:-4:18:7, 2074:34:-4:18:7,
  1934:34:-3:18:7, 1938:34:-3:18:7, 1939:34:-3:18:7, 1940:34:-3:18:7, 1941:34:-3:18:7,
  1942:34:-3:18:7, 1943:34:-3:18:7, 1954:34:-3:18:7, 1955:34:-3:18:7, 1956:34:-3:1,
  1957:34:-3:1, 1958:34:-3:1, 1959:34:-3:1, 1960:34:-3:1, 1961:34:-3:1, 1962:34:-3:1,
  1963:34:-3:1, 1964:34:-3:1, 1965:34:-3:1, 1966:34:-3:1, 1967:34:-3:1, 1968:34:-3:1,
  1969:34:-3:1, 1970:34:-3:1, 2038:34:-3:18:7, 2039:34:-3:18:7, 2040:34:-3:1, 2041:34:-3:1,
  2042:34:-3:1, 2043:34:-3:1, 2044:34:-3:1, 2045:34:-3:1, 2046:34:-3:1, 2047:34:-3:1,
  2048:34:-3:1, 2049:34:-3:1, 2050:34:-3:1, 2051:34:-3:1, 2052:34:-3:1, 2053:34:-3:1,
  2054:34:-3:1, 2064:34:-3:18:7, 2067:34:-3:18:7, 2072:34:-3:18:7, 2073:34:-3:18:7,
  2075:34:-3:18:7, 1956:34:-2:18:7, 1957:34:-2:18:7, 1958:34:-2:159:8, 1959:34:-2:159:8,
  1960:34:-2:159:8, 1961:34:-2:1, 1962:34:-2:1, 1963:34:-2:1, 1964:34:-2:1, 1965:34:-2:1,
  1966:34:-2:159:8, 1967:34:-2:159:8, 1968:34:-2:159:8, 2042:34:-2:159:8, 2043:34:-2:159:8,
  2044:34:-2:159:8, 2045:34:-2:1, 2046:34:-2:1, 2047:34:-2:1, 2048:34:-2:1, 2049:34:-2:1,
  2050:34:-2:159:8, 2051:34:-2:159:8, 2052:34:-2:159:8, 2053:34:-2:18:7, 2054:34:-2:18:7,
  1961:34:-1:1, 1962:34:-1:1, 1963:34:-1:1, 1964:34:-1:1, 1965:34:-1:1, 1966:34:-1:18:7,
  2044:34:-1:18:7, 2045:34:-1:1, 2046:34:-1:1, 2047:34:-1:1, 2048:34:-1:1, 2049:34:-1:1,
  1965:34:0:18:7, 2045:34:0:18:7, 2047:34:0:18:7, 2048:34:0:18:7, 2049:34:0:18:7,
  1964:34:7:18:7, 1963:34:8:18:7, 2046:34:8:18:7, 1963:34:9:18:7, 2047:34:9:18:7,
  1962:34:10:18:7, 1964:34:10:18:7, 2047:34:10:18:7, 1962:34:11:18:7, 1963:34:11:18:7,
  2046:34:11:18:7, 2048:34:11:18:7, 1962:34:12:18:7, 1963:34:12:18:7, 2047:34:12:18:7,
  2048:34:12:18:7, 1962:34:13:18:7, 1963:34:13:18:7, 2047:34:13:18:7, 2048:34:13:18:7,
  1962:34:14:18:7, 1963:34:14:18:7, 2047:34:14:18:7, 2048:34:14:18:7, 1962:34:15:18:7,
