Blocks: '[5995:23:2:155, 5996:23:2:1:3, 5996:23:3:155, 5995:24:1:155, 5996:24:1:155,
  5997:24:1:155, 5994:24:2:155, 5995:24:2:155, 5996:24:2:155, 5997:24:2:155, 5995:24:3:155,
  5996:24:3:155, 5997:24:3:1:3, 5995:25:0:1:3, 5996:25:0:1:3, 5994:25:1:1:3, 5995:25:1:155,
  5996:25:1:155, 5997:25:1:155, 5994:25:2:1:3, 5995:25:2:155, 5996:25:2:1:3, 5997:25:2:155,
  5998:25:2:155, 5994:25:3:1:3, 5995:25:3:155, 5996:25:3:1:3, 5997:25:3:1:3, 5996:25:4:155,
  5997:25:4:155, 5995:26:0:155, 5996:26:0:155, 5997:26:0:1:3, 5994:26:1:155, 5995:26:1:155,
  5996:26:1:155, 5997:26:1:155, 5998:26:1:155, 5994:26:2:155, 5995:26:2:155, 5996:26:2:155,
  5997:26:2:155, 5998:26:2:155, 5994:26:3:155, 5995:26:3:155, 5996:26:3:155, 5997:26:3:155,
  5998:26:3:155, 5995:26:4:155, 5996:26:4:155, 5997:26:4:155, 5999:27:-4:155, 6000:27:-4:155,
  5999:27:-3:155, 6000:27:-3:155, 6005:27:-1:1:3, 5994:27:0:155, 5995:27:0:155, 5996:27:0:155,
  5997:27:0:1:3, 6005:27:0:155, 5994:27:1:155, 5995:27:1:155, 5996:27:1:155, 5997:27:1:155,
  5998:27:1:155, 5994:27:2:1:3, 5995:27:2:1:3, 5996:27:2:155, 5997:27:2:155, 5998:27:2:155,
  5994:27:3:155, 5995:27:3:155, 5996:27:3:155, 5997:27:3:1:3, 5998:27:3:1:3, 5994:27:4:155,
  5995:27:4:155, 5996:27:4:1:3, 5997:27:4:155, 5998:27:4:1:3, 5999:28:-5:155, 6000:28:-5:1:3,
  5998:28:-4:155, 5999:28:-4:155, 6000:28:-4:155, 6001:28:-4:155, 5998:28:-3:155,
  5999:28:-3:155, 6000:28:-3:155, 6001:28:-3:155, 5999:28:-2:1:3, 6000:28:-2:155,
  6001:28:-2:155, 5995:28:-1:155, 5996:28:-1:155, 5997:28:-1:155, 6005:28:-1:155,
  6006:28:-1:155, 5994:28:0:155, 5995:28:0:155, 5996:28:0:155, 5997:28:0:155, 5998:28:0:155,
  6005:28:0:155, 6006:28:0:155, 5993:28:1:155, 5994:28:1:155, 5995:28:1:155, 5996:28:1:155,
  5997:28:1:1:3, 5998:28:1:155, 5993:28:2:155, 5994:28:2:155, 5995:28:2:155, 5996:28:2:155,
  5997:28:2:155, 5998:28:2:155, 5993:28:3:155, 5994:28:3:155, 5995:28:3:1:3, 5996:28:3:155,
  5997:28:3:155, 5998:28:3:155, 5994:28:4:155, 5995:28:4:1:3, 5996:28:4:155, 5997:28:4:155,
  5998:28:4:155, 5996:28:5:155, 5998:29:-5:155, 5999:29:-5:155, 6000:29:-5:155, 6001:29:-5:1:3,
  5998:29:-4:155, 5999:29:-4:1:3, 6000:29:-4:1:3, 6001:29:-4:155, 6002:29:-4:1:3,
  5997:29:-3:155, 5998:29:-3:155, 5999:29:-3:1:3, 6000:29:-3:155, 6001:29:-3:155,
  6002:29:-3:155, 5998:29:-2:155, 5999:29:-2:155, 6000:29:-2:155, 6001:29:-2:155,
  5995:29:-1:155, 5996:29:-1:155, 5997:29:-1:155, 5999:29:-1:155, 6000:29:-1:1:3,
  6004:29:-1:1:3, 6005:29:-1:155, 6006:29:-1:1:3, 5994:29:0:155, 5995:29:0:155, 5996:29:0:155,
  5997:29:0:155, 5998:29:0:155, 6004:29:0:1:3, 6005:29:0:155, 6006:29:0:155, 5993:29:1:155,
  5994:29:1:1:3, 5995:29:1:155, 5996:29:1:155, 5997:29:1:155, 5998:29:1:155, 5999:29:1:155,
  6005:29:1:155, 5993:29:2:155, 5994:29:2:155, 5995:29:2:155, 5996:29:2:155, 5997:29:2:155,
  5998:29:2:155, 5999:29:2:155, 5993:29:3:155, 5994:29:3:155, 5995:29:3:155, 5996:29:3:155,
  5997:29:3:155, 5998:29:3:155, 5999:29:3:155, 5994:29:4:155, 5995:29:4:155, 5996:29:4:155,
  5997:29:4:155, 5998:29:4:155, 5995:29:5:155, 5996:29:5:155, 5997:29:5:155, 6000:30:-47:155,
  6015:30:-43:155, 6015:30:-42:155, 5982:30:-41:155, 5983:30:-41:155, 5971:30:-33:155,
